utente/$/$/hotel,somma
A Traveler/$/$/Residence Inn By Marriott Hartford Downtown,0.52
A Traveler/$/$/Super 8 Indianapolis,0.35
A Traveler/$/$/Residence Inn By Marriott Springdale,0.51
A Traveler/$/$/Hyatt House Colorado Springs,0.49
A Traveler/$/$/Garden of The Gods Club & Resort,0.52
A Traveler/$/$/Holiday Inn Express - Hillsboro,0.49
A Traveler/$/$/Super 8 Fort Collins,0.14
A Traveler/$/$/Inter-hotel Orl��ans Nord,0.42
A Traveler/$/$/Red Roof Inn Erie,0.47
A Traveler/$/$/Hampton Inn Dublin,0.46
A Traveler/$/$/Knights Inn Eau Claire,0.25
A Traveler/$/$/Hampton Inn and Suites Annapolis,0.44
A Traveler/$/$/Towneplace Suites Albany University Area,0.45
A Traveler/$/$/Monterey Beach Dunes Inn,0.31
A Traveler/$/$/H��tel Sezz Paris,0.5
A Traveler/$/$/Super 8 Kansas City Airport,0.3
A Traveler/$/$/Best Western Hotel De Neuville,0.47
A Traveler/$/$/Mccamly Plaza Hotel,0.41
A Traveler/$/$/Wingate By Wyndham Pueblo,0.5
A Traveler/$/$/Hotel Roc Flamingo,0.42
A Traveler/$/$/Campus Inn & Suites Eugene Downtown,0.21
A Traveler/$/$/Super 8 Metropolis,0.16
A Traveler/$/$/Travelodge Ruther Glen,0.2
A Traveler/$/$/Hotel Garibaldi,0.45
A Traveler/$/$/Hampton Inn Virginia Beach Oceanfront North,0.57
A Traveler/$/$/Sleep Inn At Harbour View,0.18
A Traveler/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.48
A Traveler/$/$/Fiesta Inn and Suites,0.16
A Traveler/$/$/Holiday Inn Fond Du Lac,0.43
A Traveler/$/$/Arizona Inn of Prescott Valley,0.24
A Traveler/$/$/Microtel Inn and Suites By Wyndham Burlington,0.23
A Traveler/$/$/The Inn At Bella Vista,0.56
A Traveler/$/$/Quality Inn Long Beach Airport,0.31
A Traveler/$/$/Baymont Inn and Suites Boone,0.24
A Traveler/$/$/Brightwood Inn Country Inn,0.58
A Traveler/$/$/Holiday Inn Express Hotel and Suites Va Beach Oceanfront,0.57
A Traveler/$/$/Hotel Valencia Santana Row,0.49
A Traveler/$/$/Hampton Inn Grand Junction Downtown/historic Main Street,0.47
A Traveler/$/$/Lamothe House,0.47
A Traveler/$/$/Sleep Inn Slidell,0.43
A Traveler/$/$/Comfort Inn Huntingdon,0.47
A Traveler/$/$/Quality Inn and Suites Irvine Spectrum,0.2
A Traveler/$/$/Econo Lodge Bellmawr,0.23
A Traveler/$/$/Crossland Economy Studios - Lake Charles - Sulphur,0.23
A Traveler/$/$/Best Western Silicon Valley Inn,0.48
A Traveler/$/$/Days Inn Lanham Washington Dc,0.24
A Traveler/$/$/La Quinta Inn Auburn Worcester,0.39
A Traveler/$/$/Dockers Inn,0.46
A Traveler/$/$/Anaheim Marriott Suites,0.49
A Traveler/$/$/Monarch Inn,0.28
A Traveler/$/$/Wingate By Wyndham Chantilly / Dulles Airport,0.49
A Traveler/$/$/Days Inn and Suites Albany,0.2
A Traveler/$/$/Holiday Inn Express San Clemente,0.48
A Traveler/$/$/The Westin Buckhead,0.49
A Traveler/$/$/Hyatt Place Atlanta/alpharetta/north Point Mall,0.47
A Traveler/$/$/Americas Best Value Inn - Medical Center/airport,0.43
A Traveler/$/$/Courtyard By Marriott Downtown Boise,0.49
A Traveler/$/$/Fairfield Inn and Suites By Marriott Idaho Falls,0.5
A Traveler/$/$/Greenstay Hotel and Suites,0.51
A Traveler/$/$/Residence Inn By Marriott Fort Lauderdale Weston,0.5
A Traveler/$/$/Quinta Real Acapulco,0.48
A Traveler/$/$/Sportsmen's Lodge,0.2
A Traveler/$/$/Drury Inn and Suites Columbus Convention Center,0.51
A Traveler/$/$/Elba Sara Beach & Golf Resort,0.47
A Traveler/$/$/Good Nite Inn Rohnert Park,0.1
A Traveler/$/$/Comfort Suites Fort Pierce,0.49
A Traveler/$/$/Best Western Hartford Hotel & Suites,0.46
A Traveler/$/$/La Quinta Inn and Suites Meridian,0.26
A Traveler/$/$/Residence Inn By Marriott Tucson Williams Centre,0.57
A Traveler/$/$/Red Roof Inn Cedar Rapids,0.26
A Traveler/$/$/Casa Del Mar Inn Bandb,0.45
A Traveler/$/$/Holiday Inn Express and Suites Gahanna/columbus Airport E,0.48
A Traveler/$/$/Econo Lodge Miles City,0.44
A Traveler/$/$/Ibis Wuerzburg City,0.44
A Traveler/$/$/Hotel Eug��ne En Ville,0.5
A Traveler/$/$/Comfort Inn and Suites,0.47
A Traveler/$/$/City Express Irapuato,0.48
A Traveler/$/$/Castle Kona Reef,0.41
A Traveler/$/$/The Savoy Hotel,0.5
A Traveler/$/$/Holiday Inn Express & Suites Crossville,0.49
A Traveler/$/$/Holiday Inn Express Hotel and Suites Hesperia,0.44
A Traveler/$/$/Best Western Saint-etienne Aeroport,0.46
A Traveler/$/$/Holiday Inn Victorville,0.47
A Traveler/$/$/Quality Inn and Suites Big Rapids,0.44
A Traveler/$/$/Inturotel Esmeralda Park,0.53
A Traveler/$/$/Knights Inn Carmel Hill,0.29
A Traveler/$/$/Summit At Big Sky,0.53
A Traveler/$/$/Holiday Inn Express Hotel and Suites Cambridge,0.44
A Traveler/$/$/Holiday Inn Express Hotel & Suites Emporia,0.48
A Traveler/$/$/Cherokee Lodge Bed and Breakfast,0.5
A Traveler/$/$/Quality Inn Gulfport,0.2
A Traveler/$/$/Residence Inn By Marriott Deptford,0.46
A Traveler/$/$/Holiday Inn Express Hotel and Suites Meadowlands Area,0.5
Maud/$/$/Hotel Russo Palace,0.03
Julie/$/$/Hotel Russo Palace,0.03
Julie/$/$/Best Western Plus Waterville Grand Hotel,0.05
Julie/$/$/Days Inn Branson / Near The Strip,0.04
Julie/$/$/Country Inn Walker,0.0
Julie/$/$/Hotel De La Ville,0.04
Julie/$/$/Ramada,0.08
Julie/$/$/Holiday Inn Express Hotel and Suites Memphis Southwind,0.02
Julie/$/$/Americinn Coralville,0.04
Julie/$/$/Hyatt Place San Antonio Airport - Quarry Market,0.07
Julie/$/$/Tidewater Inn,0.06
Julie/$/$/Howard Johnson Inn - Newburgh,0.2
Julie/$/$/Comfort Inn Birmingham - Irondale,0.09
Julie/$/$/Ip Casino Resort Spa,0.03
Julie/$/$/Palm Suites,0.07
Julie/$/$/Super 8 Batesville Ar,0.1
Julie/$/$/Hyatt House Colorado Springs,0.0
Julie/$/$/Red Roof Inn Erie,0.0
Julie/$/$/Mccamly Plaza Hotel,0.04
Julie/$/$/Baymont Inn and Suites Boone,0.1
Julie/$/$/Hotel Valencia Santana Row,0.0
Julie/$/$/Drury Inn and Suites Columbus Convention Center,0.51
Julie/$/$/Americas Best Value Inn,0.09
Julie/$/$/Holiday Inn Express Hotel & Suites Emporia,0.09
sungchul/$/$/Hotel Russo Palace,0.03
Doppeldecker/$/$/Hotel Russo Palace,0.0
Couple/$/$/Hotel Russo Palace,0.0
ahsas/$/$/Hotel Russo Palace,0.0
Elisabet/$/$/Hotel Russo Palace,0.0
Mark W/$/$/Hotel Russo Palace,0.0
Mark W/$/$/Hampton Inn Dublin,0.0
Mark W/$/$/Hilton Garden Inn Oconomowoc,0.0
Mrs Gardner/$/$/Hotel Russo Palace,0.0
Simon/$/$/Hotel Russo Palace,0.0
Simon/$/$/Holiday Inn Canyon De Chelly,0.05
Simon/$/$/H��tel Les Bruy��res,0.0
Simon/$/$/Americas Best Value Inn,0.09
Martyn/$/$/Hotel Russo Palace,0.0
J��rgen + Sandra/$/$/Hotel Russo Palace,0.0
A & D/$/$/Hotel Russo Palace,0.0
Niklas/$/$/Hotel Russo Palace,0.0
G��nni/$/$/Hotel Russo Palace,0.0
Armando/$/$/Hotel Russo Palace,0.0
Armando/$/$/Hyatt Place San Antonio Airport - Quarry Market,0.0
Armando/$/$/Howard Johnson Inn - Newburgh,0.05
Armando/$/$/Fiesta Inn and Suites,0.11
Armando/$/$/Drury Inn and Suites Columbus Convention Center,0.0
serge/$/$/Hotel Russo Palace,0.0
Mari_ana/$/$/Hotel Russo Palace,0.0
Olivier/$/$/Hotel Russo Palace,0.0
"Olivier/$/$/The Alexandrian, Autograph Collection",0.5
Olivier/$/$/Fh Hotel Villa Fiesole,0.1
Olivier/$/$/Hotel Casena Dei Colli,0.11
Richard/$/$/Hotel Russo Palace,0.0
Richard/$/$/Fairfield Inn By Marriott Binghamton,0.16
Richard/$/$/Days Inn Branson / Near The Strip,0.04
Richard/$/$/Comfort Suites Southport,0.45
Richard/$/$/Ambassadors Inn and Suites,0.21
Richard/$/$/Days Inn Brookings,0.21
Richard/$/$/Best Western Plus Arlington North Hotel and Suites,0.11
Richard/$/$/Super 8 Pittsburgh/monroeville,0.18
"Richard/$/$/The Alexandrian, Autograph Collection",0.5
Richard/$/$/Baymont Inn and Suites Enid,0.16
Richard/$/$/Quality Inn and Suites,0.19
Richard/$/$/Wine Valley Lodge,0.16
Richard/$/$/Hyatt Place San Antonio Airport - Quarry Market,0.02
Richard/$/$/Days Inn Bangor Airport,0.15
Richard/$/$/Fh Hotel Villa Fiesole,0.1
Richard/$/$/Pelican Shores Inn,0.0
Richard/$/$/The Kinney - Venice Beach,0.12
Richard/$/$/Plaza Hotel and Casino - Las Vegas,0.14
Richard/$/$/Holiday Inn Express - Harrisburg East,0.08
Richard/$/$/Dallas/fort Worth Marriott Solana,0.15
Richard/$/$/Hampton Inn Abilene,0.04
Richard/$/$/Tidewater Inn,0.07
Richard/$/$/Americas Best Value Inn,0.09
Richard/$/$/La Quinta Inn and Suites Nashville Franklin,0.11
Richard/$/$/Chelsea Inn,0.44
Richard/$/$/Quality Inn,0.11
Richard/$/$/Extended Stay America - Raleigh - Cary - Regency Parkway S,0.16
Richard/$/$/Jvd Hotels,0.17
Richard/$/$/Country Inn & Suites By Carlson,0.22
Richard/$/$/Fairfield Inn Saginaw,0.08
Richard/$/$/Harrah's Laughlin Hotel and Casino,0.29
Richard/$/$/Country Inn and Suites By Carlson Charlotte University Place,0.15
Richard/$/$/Hotel Aura Sfo,0.45
Richard/$/$/Best Western Plus San Marcos Inn,0.43
Richard/$/$/Super 8 Schenect/albany Area,0.3
Richard/$/$/Western Inn-glacier Park,0.23
Richard/$/$/Hampton Inn Sarasota - I-75 Bee Ridge,0.08
Richard/$/$/Excellence Riviera Cancun - Adults Only - All Inclusive,0.18
Richard/$/$/Hyatt Place Pittsburgh Cranberry,0.49
Richard/$/$/Best Western Hospitality Hotel and Suites,0.12
Richard/$/$/Comfort Inn Birmingham - Irondale,0.12
Richard/$/$/Super 8 Madison,0.15
Richard/$/$/Ip Casino Resort Spa,0.03
Richard/$/$/Super 8 Bradenton Sarasota Area,0.14
Richard/$/$/Days Inn North Columbia Ft. Jackson,0.13
Richard/$/$/Bayside Resort Hotel,0.18
Richard/$/$/Inn At Mendenhall,0.15
Richard/$/$/Comfort Inn and Suites Bend,0.11
Richard/$/$/La Quinta Inn and Suites Hopkinsville,0.48
Richard/$/$/Super 8 Belle Fourche,0.18
Richard/$/$/Garden of The Gods Club & Resort,0.01
Richard/$/$/Inter-hotel Orl��ans Nord,0.42
Richard/$/$/Hampton Inn and Suites Annapolis,0.44
Richard/$/$/H��tel Sezz Paris,0.07
Richard/$/$/Super 8 Kansas City Airport,0.3
Richard/$/$/Campus Inn & Suites Eugene Downtown,0.15
Richard/$/$/Travelodge Ruther Glen,0.15
Richard/$/$/Hampton Inn Virginia Beach Oceanfront North,0.57
Richard/$/$/Fiesta Inn and Suites,0.11
Richard/$/$/Arizona Inn of Prescott Valley,0.19
Richard/$/$/Microtel Inn and Suites By Wyndham Burlington,0.13
Richard/$/$/Quality Inn and Suites Irvine Spectrum,0.13
Richard/$/$/Crossland Economy Studios - Lake Charles - Sulphur,0.18
Richard/$/$/Candlewood Suites Eugene Springfield,0.0
Richard/$/$/Quinta Real Acapulco,0.03
Richard/$/$/Sportsmen's Lodge,0.12
Richard/$/$/Drury Inn and Suites Columbus Convention Center,0.0
Richard/$/$/Red Roof Inn Cedar Rapids,0.2
Richard/$/$/Ibis Wuerzburg City,0.08
Richard/$/$/Castle Kona Reef,0.41
Richard/$/$/Best Western Saint-etienne Aeroport,0.09
Richard/$/$/Inturotel Esmeralda Park,0.07
Richard/$/$/Knights Inn Carmel Hill,0.31
Richard/$/$/Quality Inn Gulfport,0.16
Richard/$/$/Residence Inn By Marriott Deptford,0.12
christopher/$/$/Hotel Russo Palace,0.0
christopher/$/$/Ramada,0.08
christopher/$/$/Best Western Hotel De Neuville,0.0
christopher/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.0
christopher/$/$/Holiday Inn Fond Du Lac,0.0
christopher/$/$/Quality Inn Gulfport,0.04
christopher/$/$/Holiday Inn Express Hotel and Suites Meadowlands Area,0.0
Ulla Kosack/$/$/Hotel Russo Palace,0.0
Matthew/$/$/Hotel Russo Palace,0.0
Matthew/$/$/Solstice,0.11
Matthew/$/$/Mountain Lodge At Telluride - A Noble House Resort,0.0
Matthew/$/$/Candlewood Suites Huntersville,0.02
Matthew/$/$/Plaza Hotel and Casino - Las Vegas,0.06
Matthew/$/$/Hampton Inn Bloomington West,0.05
Matthew/$/$/Microtel Inn By Wyndham Knoxville,0.19
Matthew/$/$/Super 8 Bradenton Sarasota Area,0.06
Matthew/$/$/Towneplace Suites Albany University Area,0.02
Matthew/$/$/Mccamly Plaza Hotel,0.04
Matthew/$/$/Brightwood Inn Country Inn,0.03
Matthew/$/$/Quality Inn and Suites Irvine Spectrum,0.15
Matthew/$/$/Dockers Inn,0.05
Matthew/$/$/The Westin Buckhead,0.0
Matthew/$/$/Americas Best Value Inn - Medical Center/airport,0.04
Matthew/$/$/Drury Inn and Suites Columbus Convention Center,0.0
Matthew/$/$/Best Western Hartford Hotel & Suites,0.05
Matthew/$/$/Americas Best Value Inn,0.09
Jabs/$/$/Hotel Russo Palace,0.0
Andrew/$/$/Hotel Russo Palace,0.0
Andrew/$/$/Tryp Dusseldorf Krefeld Hotel,0.0
Andrew/$/$/Best Western Plus Arlington North Hotel and Suites,0.04
Andrew/$/$/La Quinta Inn and Suites Sunrise,0.02
Andrew/$/$/Americas Best Value Inn,0.09
Andrew/$/$/Super 8 Kingston,0.17
Andrew/$/$/Extended Stay America - Rockford - I-90,0.07
Andrew/$/$/Comfort Inn - Springfield,0.09
Andrew/$/$/Arion,0.0
Andrew/$/$/Fireside Inn Santa Cruz,0.12
Andrew/$/$/Grand Hotel Cadenabbia,0.08
Andrew/$/$/Anglers Inn,0.1
Andrew/$/$/Bayside Resort Hotel,0.08
Andrew/$/$/Super 8 Fort Collins,0.04
Andrew/$/$/Super 8 Kansas City Airport,0.21
Andrew/$/$/Best Western Hartford Hotel & Suites,0.05
Andrew/$/$/Casa Del Mar Inn Bandb,0.04
Andrew/$/$/Holiday Inn Express & Suites Crossville,0.49
Andrew/$/$/Holiday Inn Victorville,0.06
Kim/$/$/Hotel Russo Palace,0.0
Kim/$/$/Best Western Plus Waterville Grand Hotel,0.05
Kim/$/$/Big Mountain Lodge,0.11
Kim/$/$/Doubletree By Hilton West Palm Beach Airport,0.0
Kim/$/$/Inn At Queen Anne,0.13
"Kim/$/$/The Alexandrian, Autograph Collection",0.06
Kim/$/$/Hampton Inn New Orleans - Downtown,0.0
Kim/$/$/Vista Hotel On Lake Tarpon,0.12
